품사,Verb,,,,,,
,,,,,,,
평균 : 상대빈도,열 레이블,,,,,,
행 레이블,감쪽같은그녀,결백,그대를사랑,내머리속에,로망,오문희,총합계
하고오겠습니다-Verb,,0.01%,,,,,0.01%
녹슨못-Verb,,0.01%,,,,,0.01%
오아오아-Verb,,0.01%,,,,,0.01%
찐이-Verb,,0.01%,,,,,0.01%
모아-Verb,,0.01%,,,,,0.01%
찐이야-Verb,,0.01%,,,,,0.01%
숙이-Verb,,0.01%,,,,,0.01%
부르-Verb,,0.01%,,,,,0.01%
하셨어요-Verb,,0.01%,,,,,0.01%
차소-Verb,,0.01%,,,,,0.01%
하자-Verb,,0.01%,,,,,0.01%
대길수-Verb,,0.01%,,,,,0.01%
빗우-Verb,,0.01%,,,,,0.01%
먹어라-Verb,,0.01%,,,,,0.01%
올랑-Verb,,0.01%,,,,,0.01%
참-Verb,,0.01%,,,,,0.01%
쉼-Verb,,0.01%,,,,,0.01%
안아줘-Verb,,0.01%,,,,,0.01%
할게요-Verb,,0.01%,,,,,0.01%
대박나자-Verb,,0.01%,,,,,0.01%
할께-Verb,,0.01%,,,,,0.01%
할아-Verb,,0.01%,,,,,0.01%
밝-Verb,,0.01%,,,,,0.01%
왔니-Verb,,0.01%,,,,,0.01%
싼다라-Verb,,0.01%,,,,,0.01%
꾸미-Verb,,0.01%,,,,,0.01%
안줄래-Verb,,0.01%,,,,,0.01%
는-Verb,,0.01%,,,,,0.01%
앉아-Verb,,0.01%,,,,,0.01%
까도-Verb,,0.01%,,,,,0.01%
채오니-Verb,,0.01%,,,,,0.01%
우빈-Verb,,0.01%,,,,,0.01%
서주은-Verb,,0.01%,,,,,0.01%
웃겨-Verb,,0.01%,,,,,0.01%
채이-Verb,,0.01%,,,,,0.01%
꾼마-Verb,,0.01%,,,,,0.01%
메디-Verb,,0.01%,,,,,0.01%
바로잡기-Verb,,0.01%,,,,,0.01%
쳐죠-Verb,,0.01%,,,,,0.01%
허은-Verb,,0.01%,,,,,0.01%
기노-Verb,,0.01%,,,,,0.01%
개나줘-Verb,,0.01%,,,,,0.01%
가라가리-Verb,,0.01%,,,,,0.01%
꿀용-Verb,,0.01%,,,,,0.01%
출-Verb,,0.01%,,,,,0.01%
꿈꾸는이-Verb,,0.01%,,,,,0.01%
놀자-Verb,,0.01%,,,,,0.01%
흐린-Verb,,0.01%,,,,,0.01%
치리-Verb,,0.01%,,,,,0.01%
가져간-Verb,,0.01%,,,,,0.01%
칠라-Verb,,0.01%,,,,,0.01%
싶은대로-Verb,,0.01%,,,,,0.01%
김하-Verb,,0.01%,,,,,0.01%
총합계,0.01%,0.01%,0.01%,0.01%,0.04%,0.01%,0.01%
